Country/Territory/Region/Group,Internal renewable water resources (bln m3/year),External renewable water resources (bln m3/year),Total renewable water resources (bln m3/year),Total renewable water resources per capita (m3/inhab/year),Freshwater withdrawal as % of total renewable water resources (%)
WORLD,,,,,5.50%
Afghanistan,47.15,18.18,65.33,1678.21,1.21%
Angola,148.0,0.40,148.4,4515.27,4.43%
Albania,26.9,3.30,30.2,10494.14,9.48%
Andorra,0.32,,0.32,4084.64,4.06%
United Arab Emirates,0.15,,0.15,15.17,16.00%
Argentina,292.0,584.24,876.24,19387.65,6.44%
Armenia,6.86,0.91,7.77,2621.79,2.45%
Antigua and Barbuda,0.05,,0.05,531.0,561.00%
Australia,492.0,,492.0,19294.21,19.18%
Austria,55.0,22.70,77.7,8627.2,6.17%
Azerbaijan,8.12,26.56,34.67,3419.9,804.00%
Burundi,10.06,2.48,12.54,1054.26,823.00%
Belgium,12.0,6.30,18.3,1579.0,1.04%
Benin,10.3,16.09,26.39,2176.82,815.00%
Burkina Faso,12.5,1.00,13.5,645.83,581.00%
Bangladesh,105.0,1122.03,1227.03,7450.58,627.00%
Bulgaria,21.0,0.30,21.3,3065.43,3.03%
Bahrain,,0.11,0.12,68.17,3.00%
Bahamas,0.7,,0.7,1780.07,1.72%
Bosnia and Herzegovina,35.5,2.00,37.5,11430.07,10.70%
Belarus,34.0,23.90,57.9,6127.42,3.63%
Belize,15.26,6.47,21.73,54659.13,38.64%
Bolivia,303.5,270.50,574.0,49173.22,25.43%
Brazil,5661.0,2986.00,8647.0,40680.39,26.55%
Barbados,0.08,,0.08,278.38,285.00%
Brunei,8.5,,8.5,19429.5,19.24%
Bhutan,78.0,,78.0,101087.6,100.97%
Botswana,2.4,9.84,12.24,5204.91,943.00%
Central African Republic,141.0,,141.0,29193.95,26.39%
Canada,2850.0,10.15,283.15,10666.45,74.99%
Switzerland,40.4,13.10,53.5,6181.67,4.68%
Chile,885.0,38.06,923.06,48286.79,45.85%
China,2812.9,27.32,2840.22,1930.43,1.99%
Ivory Coast,76.84,7.30,84.14,3189.75,2.87%
Cameroon,273.0,355.50,476.1,28476.64,10.31%
DR Congo,900.0,383.00,1283.0,14325.37,9.69%
Congo,222.0,610.00,832.0,150776.89,38.93%
Colombia,2145.0,215.00,2360.0,46381.01,42.12%
Comoros,1.2,,1.2,1379.94,1.49%
Cape Verde,0.3,52.00,2902.0,76890.15,515.00%
Costa Rica,113.0,,113.0,22182.45,22.06%
Cuba,38.12,,38.12,3365.52,3.37%
Cyprus,0.78,,0.78,646.04,630.00%
Czech Republic,13.15,,13.15,1227.94,1.23%
Germany,107.0,47.00,154.0,1838.06,1.29%
Djibouti,0.3,,0.3,303.64,275.00%
Dominica,0.2,,0.2,2778.32,2.78%
Denmark,6.0,,6.0,1035.88,1.03%
Dominican Republic,23.5,,23.5,2166.32,2.14%
Algeria,11.25,0.42,11.67,266.06,259.00%
Ecuador,442.4,,442.4,25075.02,25.15%
Egypt,1.0,56.50,57.5,561.88,9.00%
Eritrea,2.8,4.51,7.32,2062.64,787.00%
Spain,111.2,0.30,111.5,2384.78,2.35%
Estonia,12.71,0.10,12.81,9653.72,9.56%
Ethiopia,122.0,,122.0,1061.21,1.04%
Finland,107.0,3.00,110.0,19853.02,19.35%
