Country_or_region,Highest_point,Maximum_elevation,Lowest_point,Minimum_elevation,Elevation_span
Afghanistan,Noshakh,"7492 m24,580 ft",Amu Darya,258 m846 ft,"7234 m23,734 ft"
Albania,Korab,"2764 m9,068 ft",Adriatic Sea,sea level,"2764 m9,068 ft"
Algeria,Mount Tahat,"3003 m9,852 ft",Chott Melrhir,−40 m−131 ft,"3043 m9,984 ft"
American Samoa,Lata Mountain on Ta‘ū,"966 m3,169 ft",South Pacific Ocean,sea level,"966 m3,169 ft"
Andorra,Coma Pedrosa,"2942 m9,652 ft",Gran Valira,"840 m2,756 ft","2102 m6,896 ft"
Angola,Mount Moco,"2620 m8,596 ft",South Atlantic Ocean,sea level,"2620 m8,596 ft"
Anguilla,Crocus Hill,73 m240 ft,Caribbean Sea,sea level,73 m240 ft
Antarctica,Mount Vinson,"4892 m16,050 ft","Deep Lake, Vestfold Hills[1][citation needed]",−50 m−164 ft,"4942 m16,214 ft"
Antigua and Barbuda,Boggy Peak on Antigua,"402 m1,319 ft",Caribbean Sea,sea level,"402 m1,319 ft"
Argentina,Aconcagua[a][b],"6960 m22,835 ft",Laguna del Carbón[c],−105 m−344 ft,"7065 m23,179 ft"
Armenia,Mount Aragats[2],"4090 m13,419 ft",Aras River[2][3],"375 m1,230 ft","3715 m12,188 ft"
Aruba,Mount Jamanota,188 m617 ft,Caribbean Sea,sea level,188 m617 ft
Ashmore and Cartier Islands,Unnamed location,3 m10 ft,Indian Ocean,sea level,3 m10 ft
Australia,Mount Kosciuszko[d],"2228 m7,310 ft",Lake Eyre,−15 m−49 ft,"2243 m7,359 ft"
Austria,Grossglockner,"3798 m12,461 ft",Lake Neusiedl,115 m377 ft,"3683 m12,083 ft"
Azerbaijan,Mount Bazardüzü,"4485 m14,715 ft",Caspian Sea,−28 m−92 ft,"4513 m14,806 ft"
Bahamas,Mount Alvernia on Cat Island,63 m207 ft,North Atlantic Ocean,sea level,63 m207 ft
Bahrain,Mountain of Smoke,122 m400 ft,Persian Gulf,sea level,122 m400 ft
Bangladesh,Saka Haphong,"1063 m3,488 ft",Bay of Bengal,sea level,"1063 m3,488 ft"
Barbados,Mount Hillaby,"336 m1,102 ft",North Atlantic Ocean,sea level,"336 m1,102 ft"
Belarus,Dzyarzhynskaya Hara,"346 m1,135 ft",Neman,90 m295 ft,256 m840 ft
Belgium,Signal de Botrange,"694 m2,277 ft",De Moeren,−4 m−13 ft,"698 m2,290 ft"
Belize,Doyle's Delight,"1124 m3,688 ft",Caribbean Sea,sea level,"1124 m3,688 ft"
Benin,Mont Sokbaro,"658 m2,159 ft",Bight of Benin,sea level,"658 m2,159 ft"
Bermuda,Town Hill,76 m249 ft,North Atlantic Ocean,sea level,76 m249 ft
